Metric,Correlation,P-value,Significance
GDP per Capita,0.5064927157664864,6.807779726274883e-05,***
Net Migration,0.46801567511636966,0.0002755173314849178,***
"Current Health Expenditure Per Capita, Ppp (Current International $)",0.3477184414306841,0.008642189575103706,**
Household Size,-0.1509625280713274,0.26674062690665806,ns
Urban Population (%),0.14821799172811168,0.2756336679877907,ns
Vaccine Coverage 2nd Dose (%),0.11839164215174938,0.3848243429498509,ns
Vaccine Hesitancy (%),0.11647494949628712,0.39262041201875275,ns
Birth Rate,-0.030870854916168616,0.8213105604609565,ns
Political Stability Index,-0.02099379634387577,0.8779435217416329,ns
Population Density,0.011261572873204884,0.9343479442694237,ns
Vaccine Coverage 1st Dose (%),-0.004298138867000709,0.9749194332230011,ns
Year,,,
